Lambda,Intensity
504.1799,0.0
504.552804636568,0.0
504.925663386272,0.0
505.29847624911196,0.0
505.67124322508795,0.0
506.04396431419997,0.0
506.41663951644796,0.0
506.789268831832,0.0
507.161852260352,0.0
507.5343898020079,0.0
507.90688145679997,0.0
508.279327224728,0.0
508.65172710579196,0.0
509.024081099992,0.0
509.396389207328,0.0
509.76865142779997,0.0
510.14086776140795,637.045396551724
510.51303820815195,646.7626551724139
510.885162768032,656.2539310344828
511.257241441048,685.6316896551723
511.62927422719997,678.8522068965517
512.001261126488,684.0498103448276
512.373202138912,694.2190344827585
512.745097264472,694.8969827586207
513.1169465031679,688.7954482758621
513.488749855,726.0826034482758
513.860507319968,723.5967931034484
514.232218898072,723.1448275862069
514.603884589312,722.9188448275862
514.975504393688,712.9756034482759
515.3470783111999,743.4832758620689
515.7186063418479,768.115396551724
516.0900884856319,752.2966034482758
516.461524742552,755.4603620689655
516.8329151126079,740.0935344827586
517.2042595958,755.0083965517241
517.575558192128,778.9625689655173
517.946810901592,762.6918103448274
518.318017724192,766.3075344827586
518.689178659928,785.0641034482759
519.0602937088,778.2846206896551
519.431362870808,768.3413793103449
519.8023861459519,776.928724137931
520.173363534232,778.0586379310346
520.5442950356479,760.883948275862
520.9151806502,745.7431034482759
521.286020377888,765.8555689655171
521.6568142187119,775.5728275862069
522.027562172672,776.250775862069
522.398264239768,765.4036034482759
522.76892042,772.4090689655171
523.139530713368,761.7878793103448
523.5100951198721,755.4603620689655
523.880613639512,757.7201896551725
524.2510862722879,776.4767586206897
524.6215130182,752.9745517241379
524.9918938772479,768.3413793103448
525.362228849432,757.9461724137931
525.732517934752,760.6579655172415
526.102761133208,766.5335172413793
526.4729584447999,755.2343793103448
526.843109869528,744.6131896551725
527.213215407392,742.579344827586
527.583275058392,767.6634310344828
527.9532888225281,760.6579655172415
528.3232566997999,755.9123275862069
528.6931786902079,762.4658275862068
529.0630547937519,756.590275862069
529.432885010432,762.6918103448276
529.8026693402479,768.1153965517242
530.1724077832,760.4319827586206
530.542100339288,763.3697586206897
530.911747008512,751.6186551724138
531.281347790872,760.206
531.650902686368,759.0760862068964
532.020411695,761.1099310344828
532.389874816768,775.572827586207
532.759292051672,772.6350517241381
533.128663399712,748.9068620689656
533.497988860888,755.6863448275863
533.8672684351999,752.2966034482758
534.236502122648,746.6470344827585
534.6056899232319,761.1099310344828
534.9748318369519,768.7933448275863
535.343927863808,762.2398448275864
535.7129780038,777.3806896551723
536.081982256928,759.3020689655174
536.450940623192,766.0815517241379
536.819853102592,755.2343793103448
537.1887196951279,770.6012068965517
537.5575404007999,762.9177931034484
537.9263152196079,742.3533620689656
538.2950441515519,762.9177931034483
538.663727196632,771.7311206896552
539.0323643548479,767.2114655172414
539.4009556262,762.2398448275862
539.769501010688,760.6579655172415
540.138000508312,762.6918103448276
540.506454119072,748.454896551724
540.874861842968,757.7201896551726
541.24322368,769.0193275862068
541.611539630168,762.2398448275862
541.9798096934719,761.3359137931035
542.3480338699119,780.0924827586207
542.7162121594879,769.9232586206897
543.0843445621999,774.4429137931035
543.452431078048,764.4996724137931
543.820471707032,775.3468448275862
544.188466449152,772.6350517241378
544.556415304408,764.9516379310344
544.9243182728,775.5728275862068
545.292175354328,770.1492413793103
545.659986548992,783.482224137931
546.027751856792,759.0760862068965
546.3954712777279,790.4876896551723
546.7631448118,764.0477068965517
547.130772459008,771.7311206896551
547.498354219352,784.8381206896552
547.8658900928319,771.7311206896551
548.233380079448,784.8381206896553
548.6008241792,779.6405172413791
548.968222392088,755.4603620689654
549.335574718112,776.2507758620688
549.702881157272,765.855568965517
550.0701417095679,773.3129999999999
550.4373563749999,760.206
550.804525153568,767.6634310344828
551.1716480452719,771.2791551724138
551.5387250501119,782.3523103448275
551.9057561680879,763.3697586206897
552.2727413992,768.3413793103449
552.639680743448,779.6405172413794
553.006574200832,776.7027413793104
553.373421771352,763.3697586206896
553.740223455008,799.3010172413794
554.1069792518,785.9680344827586
554.473689161728,771.0531724137929
554.840353184792,760.206
555.2069713209919,773.3129999999999
555.573543570328,780.3184655172413
555.9400699327999,767.437448275862
556.3065504084079,765.8555689655174
556.672984997152,775.5728275862068
557.039373699032,757.7201896551724
557.405716514048,762.2398448275862
557.7720134422,788.0018793103449
558.138264483488,762.4658275862068
558.504469637912,771.0531724137932
558.8706289054719,778.7365862068966
559.2367422861679,763.143775862069
559.6028097799999,774.6688965517242
559.968831386968,775.5728275862069
560.3348071070719,776.928724137931
560.7007369403119,771.053172413793
561.0666208866879,763.3697586206897
561.4324589462,769.4712931034483
561.798251118848,769.4712931034485
562.163997404632,778.0586379310346
562.529697803552,785.742051724138
562.895352315608,768.3413793103448
563.2609609408,770.6012068965517
563.6265236791279,758.1721551724138
563.9920405305919,772.8610344827587
564.3575114951919,777.606672413793
564.722936572928,776.0247931034485
565.0883157638,769.6972758620689
565.453649067808,773.5389827586207
565.818936484952,774.4429137931036
566.184178015232,766.081551724138
566.549373658648,756.1383103448277
566.9145234152,756.1383103448276
567.2796272848881,778.5106034482758
567.6446852677119,771.5051379310345
568.0096973636719,781.2223965517242
568.374663572768,752.5225862068964
568.7395838949999,773.0870172413793
569.104458330368,766.081551724138
569.4692868788719,765.4036034482759
569.834069540512,762.6918103448277
570.198806315288,776.250775862069
570.5634972032,781.2223965517242
570.928142204248,782.1263275862069
571.292741318432,767.6634310344828
571.6572945457519,760.4319827586207
572.021801886208,771.7311206896552
572.3862633397999,783.4822241379309
572.7506789065279,782.804275862069
573.1150485863919,779.6405172413794
573.479372379392,763.143775862069
573.8436502855279,762.2398448275862
574.2078823048,760.8839482758622
574.572068437208,773.5389827586207
574.936208682752,753.4265172413793
575.300303041432,762.6918103448274
575.664351513248,774.6688965517242
576.0283540982,777.6066724137929
576.3923107962879,758.850103448276
576.756221607512,774.2169310344827
577.120086531872,770.6012068965517
577.483905569368,756.8162586206897
577.84767872,766.0815517241379
578.2114059837679,768.1153965517242
578.575087360672,761.7878793103448
578.938722850712,770.375224137931
579.302312453888,766.5335172413794
579.6658561702,765.1776206896551
580.029353999648,783.7082068965517
580.3928059422319,769.697275862069
580.7562119979519,766.3075344827587
581.119572166808,761.1099310344828
581.4828864488,764.9516379310346
581.8461548439279,769.9232586206896
582.209377352192,786.8719655172415
582.572553973592,768.1153965517241
582.935684708128,781.2223965517242
583.2987695557999,770.6012068965516
583.661808516608,777.3806896551724
584.024801590552,786.8719655172413
584.387748777632,766.7594999999999
584.750650077848,779.188551724138
585.1135054911999,776.7027413793103
585.476315017688,782.3523103448276
585.8390786573119,776.0247931034484
586.201796410072,779.1885517241378
586.564468275968,776.7027413793104
586.9270942549999,791.3916206896553
587.289674347168,787.3239310344827
587.652208552472,767.2114655172414
588.014696870912,764.0477068965517
588.377139302488,766.3075344827587
588.7395358472,770.8271896551723
589.1018865050479,761.5618965517241
589.4641912760319,767.6634310344828
589.8264501601519,760.883948275862
590.188663157408,764.0477068965517
590.5508302677999,763.1437758620689
590.9129514913279,765.6295862068966
591.275026827992,783.9341896551723
591.637056277792,777.8326551724139
591.999039840728,752.5225862068966
592.3609775168,786.1940172413794
592.722869306008,768.7933448275862
593.0847152083519,758.850103448276
593.4465152238321,762.0138620689656
593.808269352448,762.4658275862068
594.1699775942,761.5618965517241
594.5316399490879,777.6066724137931
594.893256417112,766.5335172413793
595.2548269982719,759.3020689655173
595.616351692568,771.2791551724138
595.9778305,764.7256551724138
596.339263420568,752.5225862068964
596.700650454272,762.0138620689655
597.061991601112,769.4712931034483
597.4232868610881,762.0138620689655
597.7845362341999,772.635051724138
598.145739720448,768.7933448275862
598.506897319832,764.4996724137931
598.8680090323519,769.4712931034481
599.229074858008,767.6634310344828
599.5900947967999,779.1885517241378
599.951068848728,773.0870172413793
600.3119970137919,769.4712931034483
600.672879291992,776.0247931034482
601.033715683328,794.1034137931035
601.3945061878001,774.4429137931035
601.7552508054079,786.6459827586206
602.115949536152,761.5618965517241
602.476602380032,768.1153965517242
602.837209337048,773.0870172413794
603.1977704072,769.697275862069
603.5582855904879,773.5389827586207
603.918754886912,776.7027413793105
604.279178296472,770.1492413793103
604.639555819168,781.4483793103448
604.999887455,770.8271896551723
605.360173203968,786.42
605.7204130660721,754.7824137931035
606.0806070413121,773.5389827586207
606.4407551296879,771.9571034482758
606.8008573312,773.990948275862
607.1609136458479,770.1492413793104
607.5209240736319,770.8271896551724
607.880888614552,785.7420517241378
608.240807268608,778.0586379310345
608.6006800358,766.7594999999999
608.960506916128,771.9571034482758
609.320287909592,760.6579655172415
609.680023016192,788.9058103448276
610.039712235928,773.0870172413793
610.3993555687999,785.5160689655173
610.758953014808,794.3293965517241
611.1185045739519,789.1317931034482
611.478010246232,761.1099310344828
611.837470031648,774.2169310344827
612.1968839302,777.3806896551724
612.5562519418879,761.5618965517242
612.915574066712,777.3806896551724
613.274850304672,772.4090689655173
613.634080655768,781.9003448275862
613.99326512,791.3916206896553
614.352403697368,772.1830862068966
614.711496387872,757.0422413793103
615.0705431915119,785.7420517241379
615.4295441082879,771.0531724137932
615.7884991382,769.2453103448275
616.147408281248,762.465827586207
616.506271537432,773.0870172413793
616.865088906752,778.2846206896551
617.223860389208,757.4942068965518
617.5825859848,770.375224137931
617.941265693528,777.8326551724138
618.299899515392,770.6012068965517
618.658487450392,785.9680344827586
619.0170294985279,773.0870172413794
619.3755256597999,754.1044655172415
619.7339759342079,781.4483793103449
620.092380321752,762.4658275862068
620.450738822432,774.8948793103448
620.809051436248,782.3523103448276
621.1673181632,783.2562413793104
621.525539003288,758.1721551724137
621.883713956512,777.3806896551724
622.241843022872,775.5728275862068
622.599926202368,769.2453103448277
622.957963495,793.1994827586207
623.315954900768,773.9909482758621
623.6739004196719,787.3239310344827
624.0318000517119,759.5280517241379
624.389653796888,776.928724137931
624.7474616551999,761.5618965517241
625.105223626648,766.3075344827587
625.462939711232,766.5335172413793
625.820609908952,784.8381206896552
626.178234219808,757.268224137931
626.5358126438,764.9516379310344
626.893345180928,774.2169310344829
